inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point,Safety_Status,Reorder_Status
1,31,1,4,138,53,88,Safe,Sufficient Stock
2,31,1,5,121,53,88,Safe,Sufficient Stock
3,31,1,6,127,53,88,Safe,Sufficient Stock
4,31,2,4,232,113,145,Safe,Sufficient Stock
5,31,2,5,266,113,145,Safe,Sufficient Stock
6,31,2,6,155,113,145,Safe,Sufficient Stock
7,31,3,4,181,90,194,Safe,Overdue / Order Now
8,31,3,5,129,90,194,Safe,Overdue / Order Now
9,31,3,6,234,90,194,Safe,Sufficient Stock
10,31,4,4,114,77,99,Safe,Sufficient Stock
11,31,4,5,113,77,99,Safe,Sufficient Stock
12,31,4,6,151,77,99,Safe,Sufficient Stock
13,31,5,4,222,130,192,Safe,Sufficient Stock
14,31,5,5,276,130,192,Safe,Sufficient Stock
15,31,5,6,239,130,192,Safe,Sufficient Stock
16,31,6,4,254,106,182,Safe,Sufficient Stock
17,31,6,5,258,106,182,Safe,Sufficient Stock
18,31,6,6,262,106,182,Safe,Sufficient Stock
19,31,7,4,111,77,129,Safe,Overdue / Order Now
20,31,7,5,93,77,129,Safe,Overdue / Order Now
21,31,7,6,91,77,129,Safe,Overdue / Order Now
22,31,8,4,32,21,28,Safe,Sufficient Stock
23,31,8,5,46,21,28,Safe,Sufficient Stock
24,31,8,6,43,21,28,Safe,Sufficient Stock
25,31,9,4,54,40,57,Safe,Overdue / Order Now
26,31,9,5,53,40,57,Safe,Overdue / Order Now
27,31,9,6,77,40,57,Safe,Sufficient Stock
28,31,10,4,23,19,31,Safe,Overdue / Order Now
29,31,10,5,55,19,31,Safe,Sufficient Stock
30,31,10,6,56,19,31,Safe,Sufficient Stock
31,31,11,4,77,42,60,Safe,Sufficient Stock
32,31,11,5,43,42,60,Warning,Overdue / Order Now
33,31,11,6,71,42,60,Safe,Sufficient Stock
34,31,12,4,74,38,74,Safe,Reorder Point Reached
35,31,12,5,90,38,74,Safe,Sufficient Stock
36,31,12,6,80,38,74,Safe,Sufficient Stock
37,31,13,4,51,20,39,Safe,Sufficient Stock
38,31,13,5,45,20,39,Safe,Sufficient Stock
39,31,13,6,42,20,39,Safe,Sufficient Stock
40,31,14,4,19,10,21,Safe,Overdue / Order Now
41,31,14,5,23,10,21,Safe,Sufficient Stock
42,31,14,6,28,10,21,Safe,Sufficient Stock
43,31,15,4,214,133,146,Safe,Sufficient Stock
44,31,15,5,269,133,146,Safe,Sufficient Stock
45,31,15,6,148,133,146,Safe,Sufficient Stock
46,31,16,4,424,209,439,Safe,Overdue / Order Now
47,31,16,5,551,209,439,Safe,Sufficient Stock
48,31,16,6,611,209,439,Safe,Sufficient Stock
49,59,1,4,60,32,65,Safe,Overdue / Order Now
50,59,1,5,84,32,65,Safe,Sufficient Stock
51,59,1,6,43,32,65,Safe,Overdue / Order Now
52,59,2,4,366,166,219,Safe,Sufficient Stock
53,59,2,5,311,166,219,Safe,Sufficient Stock
54,59,2,6,258,166,219,Safe,Sufficient Stock
55,59,3,4,135,101,236,Safe,Overdue / Order Now
56,59,3,5,172,101,236,Safe,Overdue / Order Now
57,59,3,6,241,101,236,Safe,Sufficient Stock
58,59,4,4,117,61,101,Safe,Sufficient Stock
59,59,4,5,103,61,101,Safe,Sufficient Stock
60,59,4,6,68,61,101,Safe,Overdue / Order Now
61,59,5,4,295,145,200,Safe,Sufficient Stock
62,59,5,5,291,145,200,Safe,Sufficient Stock
63,59,5,6,225,145,200,Safe,Sufficient Stock
64,59,6,4,268,98,207,Safe,Sufficient Stock
65,59,6,5,265,98,207,Safe,Sufficient Stock
66,59,6,6,273,98,207,Safe,Sufficient Stock
67,59,7,4,129,71,127,Safe,Sufficient Stock
68,59,7,5,84,71,127,Safe,Overdue / Order Now
69,59,7,6,145,71,127,Safe,Sufficient Stock
70,59,8,4,32,22,48,Safe,Overdue / Order Now
71,59,8,5,37,22,48,Safe,Overdue / Order Now
72,59,8,6,32,22,48,Safe,Overdue / Order Now
73,59,9,4,77,31,69,Safe,Sufficient Stock
74,59,9,5,80,31,69,Safe,Sufficient Stock
75,59,9,6,99,31,69,Safe,Sufficient Stock
76,59,10,4,44,22,28,Safe,Sufficient Stock
77,59,10,5,35,22,28,Safe,Sufficient Stock
78,59,10,6,28,22,28,Safe,Reorder Point Reached
79,59,11,4,30,16,28,Safe,Sufficient Stock
80,59,11,5,39,16,28,Safe,Sufficient Stock
81,59,11,6,35,16,28,Safe,Sufficient Stock
82,59,12,4,63,24,37,Safe,Sufficient Stock
83,59,12,5,29,24,37,Safe,Overdue / Order Now
84,59,12,6,56,24,37,Safe,Sufficient Stock
85,59,13,4,50,23,36,Safe,Sufficient Stock
86,59,13,5,52,23,36,Safe,Sufficient Stock
87,59,13,6,40,23,36,Safe,Sufficient Stock
88,59,14,4,19,9,14,Safe,Sufficient Stock
89,59,14,5,10,9,14,Safe,Overdue / Order Now
90,59,14,6,16,9,14,Safe,Sufficient Stock
91,59,15,4,293,119,263,Safe,Sufficient Stock
92,59,15,5,298,119,263,Safe,Sufficient Stock
93,59,15,6,219,119,263,Safe,Overdue / Order Now
94,59,16,4,74,43,78,Safe,Overdue / Order Now
95,59,16,5,59,43,78,Safe,Overdue / Order Now
96,59,16,6,56,43,78,Safe,Overdue / Order Now
97,90,1,4,253,146,180,Safe,Sufficient Stock
98,90,1,5,243,146,180,Safe,Sufficient Stock
99,90,1,6,132,146,180,Critical,Overdue / Order Now
100,90,2,4,157,78,129,Safe,Sufficient Stock
101,90,2,5,79,78,129,Warning,Overdue / Order Now
102,90,2,6,91,78,129,Safe,Overdue / Order Now
103,90,3,4,141,63,131,Safe,Sufficient Stock
104,90,3,5,134,63,131,Safe,Sufficient Stock
105,90,3,6,135,63,131,Safe,Sufficient Stock
106,90,4,4,130,98,122,Safe,Sufficient Stock
107,90,4,5,196,98,122,Safe,Sufficient Stock
108,90,4,6,130,98,122,Safe,Sufficient Stock
109,90,5,4,120,50,82,Safe,Sufficient Stock
110,90,5,5,146,50,82,Safe,Sufficient Stock
111,90,5,6,98,50,82,Safe,Sufficient Stock
112,90,6,4,56,42,105,Safe,Overdue / Order Now
113,90,6,5,120,42,105,Safe,Sufficient Stock
114,90,6,6,103,42,105,Safe,Overdue / Order Now
115,90,7,4,79,44,68,Safe,Sufficient Stock
116,90,7,5,87,44,68,Safe,Sufficient Stock
117,90,7,6,90,44,68,Safe,Sufficient Stock
118,90,8,4,122,59,81,Safe,Sufficient Stock
119,90,8,5,62,59,81,Warning,Overdue / Order Now
120,90,8,6,99,59,81,Safe,Sufficient Stock
121,90,9,4,111,62,107,Safe,Sufficient Stock
122,90,9,5,80,62,107,Safe,Overdue / Order Now
123,90,9,6,74,62,107,Safe,Overdue / Order Now
124,90,10,4,61,37,53,Safe,Sufficient Stock
125,90,10,5,60,37,53,Safe,Sufficient Stock
126,90,10,6,46,37,53,Safe,Overdue / Order Now
127,90,11,4,24,19,29,Safe,Overdue / Order Now
128,90,11,5,35,19,29,Safe,Sufficient Stock
129,90,11,6,24,19,29,Safe,Overdue / Order Now
130,90,12,4,25,13,33,Safe,Overdue / Order Now
131,90,12,5,21,13,33,Safe,Overdue / Order Now
132,90,12,6,23,13,33,Safe,Overdue / Order Now
133,90,13,4,11,11,15,Warning,Overdue / Order Now
134,90,13,5,11,11,15,Warning,Overdue / Order Now
135,90,13,6,11,11,15,Warning,Overdue / Order Now
136,90,14,4,39,31,34,Safe,Sufficient Stock
137,90,14,5,44,31,34,Safe,Sufficient Stock
138,90,14,6,38,31,34,Safe,Sufficient Stock
139,90,15,4,181,97,192,Safe,Overdue / Order Now
140,90,15,5,113,97,192,Safe,Overdue / Order Now
141,90,15,6,138,97,192,Safe,Overdue / Order Now
142,90,16,4,133,106,216,Safe,Overdue / Order Now
143,90,16,5,136,106,216,Safe,Overdue / Order Now
144,90,16,6,282,106,216,Safe,Sufficient Stock
145,120,1,4,210,145,237,Safe,Overdue / Order Now
146,120,1,5,224,145,237,Safe,Overdue / Order Now
147,120,1,6,198,145,237,Safe,Overdue / Order Now
148,120,2,4,128,86,160,Safe,Overdue / Order Now
149,120,2,5,155,86,160,Safe,Overdue / Order Now
150,120,2,6,181,86,160,Safe,Sufficient Stock
151,120,3,4,141,91,137,Safe,Sufficient Stock
